n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1658,929319,38048.4,878300,913400,925800,939825,1.3814e+06
1668,925180,87214.2,862100,893900,905550,920525,1.5482e+06
1678,954863,144934,889200,916700,930150,947625,2.7972e+06
1688,951863,42177.7,901700,937125,947300,958900,1.4843e+06
1698,922528,109038,847700,884975,895850,909825,1.7911e+06
1708,969704,44160.6,911200,954100,963100,975350,1.5268e+06
1718,961141,123273,904600,931450,942050,951350,2.5256e+06
1728,925640,55139.8,875900,909025,918700,931150,1.4661e+06
1738,966880,158492,901400,923350,934400,948950,2.7927e+06
1748,995099,28973.3,946900,982375,991400,1.00235e+06,1.3428e+06
1758,1.01917e+06,152067,949900,982200,993650,1.0087e+06,3.0598e+06
1768,1.00715e+06,29492.5,961100,992600,1.0053e+06,1.0171e+06,1.3422e+06
1778,999798,84412.7,917100,969825,983500,998900,1.5134e+06
1788,1.05963e+06,210255,996700,1.02345e+06,1.03245e+06,1.04502e+06,4.1654e+06
1798,1.04066e+06,50655.9,993700,1.02445e+06,1.0341e+06,1.04335e+06,1.6117e+06
1808,1.06119e+06,97465.7,1.005e+06,1.0307e+06,1.0417e+06,1.0545e+06,1.9408e+06
1818,1.04696e+06,39057.2,1.0048e+06,1.03202e+06,1.04225e+06,1.0525e+06,1.4644e+06
1828,1.03115e+06,124601,972700,995450,1.0057e+06,1.01812e+06,2.2795e+06
1838,1.0934e+06,77890.8,1.0395e+06,1.06878e+06,1.0793e+06,1.0906e+06,1.6264e+06
1848,1.11548e+06,205345,1.0302e+06,1.06925e+06,1.0783e+06,1.09262e+06,3.8159e+06
1858,1.03235e+06,23762.7,970600,1.01752e+06,1.02955e+06,1.04265e+06,1.164e+06
1868,1.11305e+06,98448.7,1.0426e+06,1.07515e+06,1.0901e+06,1.10902e+06,1.7477e+06
1878,1.08791e+06,80123.7,1.0328e+06,1.06098e+06,1.0736e+06,1.0877e+06,1.7351e+06
1888,1.09131e+06,43667.5,1.0437e+06,1.0739e+06,1.087e+06,1.09932e+06,1.6444e+06
1898,1.12516e+06,90178,1.0632e+06,1.09305e+06,1.1095e+06,1.12345e+06,1.7921e+06
1908,1.0996e+06,39282.7,1.0533e+06,1.08308e+06,1.09415e+06,1.11008e+06,1.6075e+06
1918,1.20528e+06,224362,1.1226e+06,1.15768e+06,1.1692e+06,1.18342e+06,4.3089e+06
1928,1.16169e+06,59347.5,1.1048e+06,1.13942e+06,1.1518e+06,1.16735e+06,1.6805e+06
1938,1.13338e+06,114884,1.0652e+06,1.09618e+06,1.10825e+06,1.1243e+06,1.9024e+06
1948,1.13147e+06,43776.5,1.0839e+06,1.11305e+06,1.12665e+06,1.13985e+06,1.6733e+06
1958,1.20224e+06,98926.3,1.1368e+06,1.16928e+06,1.18355e+06,1.19668e+06,1.8332e+06
1968,1.20575e+06,146341,1.1312e+06,1.16338e+06,1.17545e+06,1.19122e+06,2.644e+06
1978,1.15141e+06,34141.6,1.1104e+06,1.13738e+06,1.1477e+06,1.1591e+06,1.5598e+06
1988,1.20366e+06,110524,1.1317e+06,1.168e+06,1.17925e+06,1.1935e+06,1.831e+06
1998,1.20722e+06,25029.4,1.1637e+06,1.18948e+06,1.2056e+06,1.2175e+06,1.3763e+06
2008,1.21115e+06,130786,1.1444e+06,1.17108e+06,1.18185e+06,1.1966e+06,2.1853e+06
2018,1.20549e+06,96103,1.1393e+06,1.18235e+06,1.19365e+06,1.20782e+06,2.5159e+06
2028,1.18752e+06,105124,1.118e+06,1.14982e+06,1.1647e+06,1.17978e+06,1.9258e+06
2038,1.21233e+06,109390,1.1418e+06,1.1794e+06,1.193e+06,1.20665e+06,1.9354e+06
2048,1.22124e+06,65869.8,1.1541e+06,1.2016e+06,1.21145e+06,1.223e+06,1.7423e+06
