n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1508,863204,63505.1,810700,840700,851700,867775,1.688e+06
1518,842733,101507,784100,808625,820950,838825,1.7475e+06
1528,819651,48200.3,774100,800575,811250,825300,1.3745e+06
1538,843091,96780.1,789300,815100,825550,839750,1.5143e+06
1548,810219,41818.3,763600,795775,805850,816300,1.3841e+06
1558,874080,100451,816900,838575,848600,864725,1.4539e+06
1568,824052,32974.5,786400,810375,818200,829775,1.1899e+06
1578,893234,198981,823600,851250,862900,876850,3.683e+06
1588,890945,105043,821700,859150,869000,882625,1.5775e+06
1598,856452,39180.6,809900,843150,853200,863025,1.4127e+06
1608,931104,137184,871600,895025,904500,915450,2.5689e+06
1618,879746,45623.8,837900,863300,873950,885150,1.4478e+06
1628,919494,214107,859900,880250,891450,901500,4.088e+06
1638,896392,39621.3,835600,882775,892450,902725,1.4295e+06
1648,940816,168205,871700,899575,908750,918275,3.0964e+06
1658,927096,59038.1,882000,908350,918250,928700,1.4365e+06
1668,958602,128929,890600,917750,930300,945125,2.0147e+06
1678,917272,18979,874900,905675,915450,925975,1.0262e+06
1688,944866,101807,892300,914150,924700,935825,2.0193e+06
1698,940977,87488.9,894000,915775,927200,939375,1.8004e+06
1708,1.00943e+06,82809.1,956100,981975,992200,1.00675e+06,1.6505e+06
1718,1.00082e+06,144280,929800,957100,969550,988225,2.3409e+06
1728,979450,94943.3,919400,952150,966200,981725,1.9308e+06
1738,1.02095e+06,189600,938200,971750,985400,999525,3.3646e+06
1748,993559,88469.3,938900,964875,978100,993725,2.0266e+06
1758,989847,101556,922000,954975,969950,985100,1.5978e+06
1768,1.02379e+06,56433.1,970700,1.00575e+06,1.0168e+06,1.03115e+06,1.6285e+06
1778,1.06721e+06,130711,998900,1.03005e+06,1.0428e+06,1.05805e+06,2.3742e+06
1788,1.06805e+06,122268,997100,1.03328e+06,1.046e+06,1.05808e+06,2.3284e+06
1798,1.04312e+06,35661.9,996800,1.0262e+06,1.0376e+06,1.05448e+06,1.4626e+06
